master,primaryCategory,subCategories,navigationId
prod8431186,women-bottoms-78-tights,,lululemon-ausnz-navigation
LW5CZ4S,women-bottoms-tights,,lululemon-ausnz-navigation
prod9200027,women-bottoms-joggers-sweatpants,,lululemon-ausnz-navigation
LW7AVOT,women-bottoms-shorts-skirts,,lululemon-ausnz-navigation
prod8780600,women-tops-sports-bras,,lululemon-ausnz-navigation
prod8431186,womens-leggings,,lululemon-ausnz-NEWnav
LW5CZ4S,womens-leggings,,lululemon-ausnz-NEWnav
prod9200027,womens-joggers,,lululemon-ausnz-NEWnav
LW7AVOT,womens-shorts,,lululemon-ausnz-NEWnav
prod8780600,womens-sports-bras,,lululemon-ausnz-NEWnav
