master,primaryCategory,subCategories
LM3BXES,mens-tops-longsleeves,men-activity-train
LM4A95S,men-tops-jacketshoodies,men-activity-otc
LM7AQDS,men-bottoms-shorts,men-activity-train
LW1CLRS,women-tops-tanks,women-activity-otc
LW1CQCS,women-tops-tanks,"women-activity-run, women-collections-online-only, women--swiftly-shop, women-swiftly-shop"
LW2BZVS,women-intimates-sportsbras,women-activity-yoga
LW2CM6S,women-intimates-sportsbras,"women-activity-train, women-activity-yoga"
LW3CP4S,women-tops-longsleeves,women-activity-otc
LW3CP5S,women-tops-longsleeves,women-activity-otc
LW3DQJS,women-tops-longsleeves,women-activity-otc
LW5CQ3S,women-bottoms-leggings,women-activity-train
LW5CTRS,women-bottoms-7-8pants,"women-activity-run, fabric-nulux-shop-all, women-bottoms-leggings"
LW7BGHS,women-bottoms-shorts,"women-activity-run, fabric-nulux-shop-all"
LW7BJGS,women-bottoms-shorts,"women-activity-run, fabric-nulux-shop-all, women-collections-online-only"
LW9CS8S,women-accessories-scarveswraps,women-activity-run
LW9CS9S,women-accesories-gloves,women-activity-run
LW9CT4S,women-accessories-socks,women-activity-otc
LW9CYLS,women-accessories-headwear,women-activity-run
LW9CYNS,women-accesories-gloves,women-activity-run
LW9CZ5S,women-accessories-bags,women-activity-otc
LW9CZ7S,women-accessories-bags,women-activity-otc
prod10080057,women-bottoms-7-8pants,"women-activity-run, fabric-nulux-shop-all, women-bottoms-leggings"
prod9400153,women-bottoms-shorts,"women-activity-run, fabric-nulux-shop-all, women-collections-online-only"
prod9490366,women-tops-longsleeves,women-activity-otc
prod9490390,women-accessories-socks,women-activity-otc
prod9750687,mens-tops-longsleeves,men-activity-train
prod9960663,women-accessories-headwear,women-activity-otc
prod9960669,women-accessories-bags,women-activity-otc
prod9960711,men-tops-jacketshoodies,men-activity-otc
