master,color,style_color
LM5ABNS,Copper Brown,LM5ABNS-049076
LW2CSIS,Dark Olive,LW2CSIS-026083
LM5ABNS,Dove Grey,LM5ABNS-036865
prod8431218,Gold Spice,LM4AA9S-048054
LW3DFMS,Spiced Chai/Spiced Chai,LW3DFMS-049033
LW3DFMS,Wisteria Purple/Wisteria Purple,LW3DFMS-049158
LM9AFFS,Graphite Grey/Highlight Yellow,LM9AFFS-051057
LM5ABNS,True Navy,LM5ABNS-031382
LW3EOHS,White,LW3EOHS-0002
LW5CQNS,Heritage 365 Camo Deep Coal Multi,LW5CQNS-047184
prod8320280,Black,LW2326S-0001
LW9DL9S,Black,LW9DL9S-0001
LW1DG8S,HEATHERED LAVENDER DEW,LW1DG8S-049932
